Component,Quantity,Price,REF,Link
TCGMat PCB,1,$10.97,,
COB LED 2 meters,1,$23.40,,https://www.aliexpress.com/item/1005005046710332.html?spm=a2g0o.productlist.main.1.5d1576be9nwfRx&algo_pvid=0b8894c0-87d8-4c6c-8bd2-edaf75e1b044&algo_exp_id=0b8894c0-87d8-4c6c-8bd2-edaf75e1b044-0&pdp_ext_f=%7B%22order%22%3A%226729%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2111.67%219.33%21%21%218.35%216.67%21%402101e2b017782784531593424e2afb%2112000034616968442%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae6a51728%3Bm03_new_user%3A-29895%3BpisId%3A5000000206226397&curPageLogUid=nG6Y9pPg4gLo&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005046710332%7C_p_origin_prod%3A
TFT Display,1,$4.67,J1,https://www.aliexpress.com/item/1005006139989470.html?spm=a2g0o.productlist.main.11.7751qf3Pqf3P3P&algo_pvid=200ebce1-892d-4935-9c41-26f6fd5470c8&algo_exp_id=200ebce1-892d-4935-9c41-26f6fd5470c8-10&pdp_ext_f=%7B%22order%22%3A%224133%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%214.63%211.38%21%21%2122.57%216.72%21%402101e80317782080966858986ece95%2112000047162642428%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae6a51728%3Bm03_new_user%3A-29895%3BpisId%3A5000000205307698&curPageLogUid=zueyNqq3oKLD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006139989470%7C_p_origin_prod%3A
Touch Sensors,1-2,$3.24,TouchSensor1/TouchSensor2Ghost,https://www.aliexpress.com/item/1005006246380749.html?spm=a2g0o.productlist.main.1.3c167c738kNp7M&algo_pvid=77210391-9eea-4755-8505-5769631b63ff&algo_exp_id=77210391-9eea-4755-8505-5769631b63ff-0&pdp_ext_f=%7B%22order%22%3A%2211191%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.95%213.94%21%21%2119.26%2119.21%21%40210328c017782087472167097e53df%2112000056336315277%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae6a51728%3Bm03_new_user%3A-29895%3BpisId%3A5000000206226397&curPageLogUid=ayPRraC3GVgy&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006246380749%7C_p_origin_prod%3A#nav-specification
31.6k Ohms Resistor,1,$0.17,C2,https://www.digikey.ca/en/products/detail/panasonic-industry/ERA-2AEB3162X/2026187
N-Channel Mosfet,1,$0.80,LedSwitch1,https://www.digikey.ca/en/products/detail/alpha-omega-semiconductor-inc/AO3400A/1855772
P-Channel Mosfet,1,$0.80,3v3Switch1,https://www.digikey.ca/en/products/detail/alpha-omega-semiconductor-inc/AO3401A/1855773
"Charging Module, 12v Boost With Box",1,$3.96,,https://www.aliexpress.com/item/1005005631366128.html?spm=a2g0o.productlist.main.11.3ae27613cMqaLm&algo_pvid=9e2bb1a0-435b-4fb9-9d40-720548fb2a64&algo_exp_id=9e2bb1a0-435b-4fb9-9d40-720548fb2a64-10&pdp_ext_f=%7B%22order%22%3A%222646%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.71%212.70%21%21%211.94%211.93%21%402101e2b017782102244733338e0b2c%2112000033816908205%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae6a51728%3Bm03_new_user%3A-29895%3BpisId%3A5000000206226397&curPageLogUid=n5X83sLfYBQ7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005631366128%7C_p_origin_prod%3A
"Magnet Pogo Pin Connectors, MaleFemale RA",1,$4.02,Transmission1,https://www.aliexpress.com/item/1005006525401310.html?spm=a2g0o.productlist.main.1.4b1771eb8M2gmP&algo_pvid=bee91a44-af9b-45bf-9672-ba7059a24829&algo_exp_id=bee91a44-af9b-45bf-9672-ba7059a24829-0&pdp_ext_f=%7B%22order%22%3A%2210322%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.63%211.38%21%21%212.60%210.99%21%402103122117782791412714285e26b1%2112000037527720940%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae6a51728%3Bm03_new_user%3A-29895%3BpisId%3A5000000205307698&curPageLogUid=oxVIl1egwWNJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006525401310%7C_p_origin_prod%3A
3.3 uH Inductor,1,$0.27,L1,https://www.digikey.ca/en/products/detail/taiyo-yuden/NRS4018T3R3MDGJ/2648970
Buck IC,1,$0.62,U2,https://www.digikey.ca/en/products/detail/diodes-incorporated/AP62150WU-7/13161380?s=N4IgTCBcDaIIIAUBsYCMBWADAdQKogF0BfIA
100 Ohms Resistor (Kit),3,,"R1, R4, R6",
10k Ohms Resistor (Kit),1,$5.75,"R3, R5, R7",https://www.aliexpress.com/item/1005011772534173.html?spm=a2g0o.productlist.main.2.3d28174e93R9oa&algo_pvid=bd2ac9d2-d947-488e-8eb5-8e559b676947&algo_exp_id=bd2ac9d2-d947-488e-8eb5-8e559b676947-1&pdp_ext_f=%7B%22order%22%3A%222591%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%215.70%215.45%21%21%2127.77%2126.53%21%402101df0e17784511265706583e9ffd%2112000056500803485%21sea%21CA%217519964077%21X%211%210%21n_tag%3A-29913%3Bd%3A7cfc8024%3Bm03_new_user%3A-29895&curPageLogUid=PY4tIajfEo4w&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011772534173%7C_p_origin_prod%3A
100 nF Capacitor SMD,2,$3.55,"C2, C4",https://www.aliexpress.com/item/32964553793.html?spm=a2g0o.productlist.main.15.6a811758kMp2yB&algo_pvid=26de6191-e91f-48f5-9e5e-5bef7953cfe5&algo_exp_id=26de6191-e91f-48f5-9e5e-5bef7953cfe5-14&pdp_ext_f=%7B%22order%22%3A%222062%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.24%211.84%21%21%2115.75%218.93%21%4021033d9d17783760503256437eb819%2166561886362%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7cfc8024%3Bm03_new_user%3A-29895%3BpisId%3A5000000204872240&curPageLogUid=D9Skj0LdTYfY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32964553793%7C_p_origin_prod%3A
10 uF Capacitor TH,1,$3.53,C1,https://www.aliexpress.com/item/1005002524973878.html?spm=a2g0o.productlist.main.18.71c069a8cFoyvN&algo_pvid=efc6b56f-435b-4954-8b9b-40328450abba&algo_exp_id=efc6b56f-435b-4954-8b9b-40328450abba-17&pdp_ext_f=%7B%22order%22%3A%2221286%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.37%213.32%21%21%2116.31%2116.08%21%402101d9ef17788848378804935ecb49%2112000020995893448%21sea%21CA%217519964077%21X%211%210%21n_tag%3A-29913%3Bd%3A7cfc8024%3Bm03_new_user%3A-29895&curPageLogUid=nXsUsC5NtFek&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002524973878%7C_p_origin_prod%3A#nav-specification
100 uF Capacitor TH,1,$4.07,C3,https://www.aliexpress.com/item/1005002524973878.html?spm=a2g0o.productlist.main.18.71c069a8cFoyvN&algo_pvid=efc6b56f-435b-4954-8b9b-40328450abba&algo_exp_id=efc6b56f-435b-4954-8b9b-40328450abba-17&pdp_ext_f=%7B%22order%22%3A%2221286%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.37%213.32%21%21%2116.31%2116.08%21%402101d9ef17788848378804935ecb49%2112000020995893448%21sea%21CA%217519964077%21X%211%210%21n_tag%3A-29913%3Bd%3A7cfc8024%3Bm03_new_user%3A-29895&curPageLogUid=nXsUsC5NtFek&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002524973878%7C_p_origin_prod%3A#nav-specification
Screw Terminal 2.54mm,2,$2.38,"J2, Code1",https://www.aliexpress.com/item/4000867583795.html?spm=a2g0o.productlist.main.3.4fef78ff6Lbmqt&algo_pvid=efbf2c5d-bd7f-448d-be7f-739518f16adc&algo_exp_id=efbf2c5d-bd7f-448d-be7f-739518f16adc-2&pdp_ext_f=%7B%22order%22%3A%223987%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.38%212.32%21%21%211.69%211.65%21%402101e8f317788850181211359e7db7%2110000009746956243%21sea%21CA%217519964077%21X%211%210%21n_tag%3A-29913%3Bd%3A7cfc8024%3Bm03_new_user%3A-29895&curPageLogUid=PtJUplS5tBPZ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000867583795%7C_p_origin_prod%3A
Pin Header 2.54mm 01x022 (snap off),1,$4.75,(LED1)/(LEDLead/Leg1),https://www.aliexpress.com/item/1005007564228387.html?spm=a2g0o.productlist.main.37.5c736561vVEMia&algo_pvid=6723cc2e-e2d3-499c-be53-f42960672ee2&algo_exp_id=6723cc2e-e2d3-499c-be53-f42960672ee2-36&pdp_ext_f=%7B%22order%22%3A%221198%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.19%212.19%21%21%211.56%211.56%21%40210328c017788850619231504e0b00%2112000041314583358%21sea%21CA%217519964077%21X%211%210%21n_tag%3A-29913%3Bd%3A7cfc8024%3Bm03_new_user%3A-29895&curPageLogUid=1ko1KDBTmACq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007564228387%7C_p_origin_prod%3A
Switch Buttons 6x6mm,3,$2.29,"OnOff1, Config1, Action1",https://www.aliexpress.com/item/1005006046180384.html?spm=a2g0o.productlist.main.5.6278509cPsH9g4&algo_pvid=877676ec-f196-4eee-86e6-498a94fe330c&algo_exp_id=877676ec-f196-4eee-86e6-498a94fe330c-4&pdp_ext_f=%7B%22order%22%3A%227213%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.29%212.29%21%21%211.63%211.63%21%402101e2b417788852023202471ec521%2112000035472972529%21sea%21CA%217519964077%21X%211%210%21n_tag%3A-29913%3Bd%3A7cfc8024%3Bm03_new_user%3A-29895&curPageLogUid=pfAIYvwROHL0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006046180384%7C_p_origin_prod%3A
PLA Filament (1kg),2,$52,,https://ca.store.bambulab.com/products/pla-basic-filament?id=43115681841392
Digikey Shipping,1,$25,,
Tax,,$17.06,,
Total:,,$162.31,,
